Year;Country;Winner;Runners-Up;Third;Fourth;Goals Scored;Qualified Teams;Matches Played;Attendance;Top Scorer;Team;Goals;
1930;Uruguay;Uruguay;Argentina;USA;Yugoslavia;70;13;18;590549;Guillermo Stßbile;Argentina;8;
1934;Italy;Italy;Czechoslovakia;Germany;Austria;70;16;17;363000;Oldrich Nejedl²;Czechoslovakia;5;
1938;France;Italy;Hungary;Brazil;Sweden;84;15;18;375700;Le¶nidas da Silva;Brazil;7;
1950;Brazil;Uruguay;Brazil;Sweden;Spain;88;13;22;1045246;Ademir de Menezes;Brazil;8;
1954;Switzerland;Germany FR;Hungary;Austria;Uruguay;140;16;26;768607;Sßndor Kocsis;Hungary;11;
1958;Sweden;Brazil;Sweden;France;Germany FR;126;16;35;819810;Just Fontaine;France;13;
1962;Chile;Brazil;Czechoslovakia;Chile;Yugoslavia;89;16;32;893172;Garrincha/Vavß/Leonel Sßnchez/Fl¾rißn Albert/Drazan Jerkovic/Valentin Ivanov;Brazil/Brazil/Chile/Hungary/Yugoslavia/Soviet Union;4;
1966;England;England;Germany FR;Portugal;Soviet Union;89;16;32;1563135;Eusķbio;Portugal;9;
1970;Mexico;Brazil;Italy;Germany FR;Uruguay;95;16;32;1603975;Gerd M³ller;Germany FR;10;
1974;Germany;Germany FR;Netherlands;Poland;Brazil;97;16;38;1865753;Grzegorz Lato;Poland;7;
1978;Argentina;Argentina;Netherlands;Brazil;Italy;102;16;38;1545791;Mario Kempes;Argentina;6;
1982;Spain;Italy;Germany FR;Poland;France;146;24;52;2109723;Paolo Rossi;Italy;6;
1986;Mexico;Argentina;Germany FR;France;Belgium;132;24;52;2394031;Gary Lineker;England;6;
1990;Italy;Germany FR;Argentina;Italy;England;115;24;52;2516215;Salvatore Schillaci;Italy;6;
1994;USA;Brazil;Italy;Sweden;Bulgaria;141;24;52;3587538;Hristo Stoichkov/Oleg Salenko;Bulgaria/Russia;6;
1998;France;France;Brazil;Croatia;Netherlands;171;32;64;2785100;Davor Suker;Croatia;6;
2002;Korea/Japan;Brazil;Germany;Turkey;Korea Republic;161;32;64;2705197;Ronaldo;Brazil;8;
2006;Germany;Italy;France;Germany;Portugal;147;32;64;3359439;Miroslav Klose;Germany;5;
2010;South Africa;Spain;Netherlands;Germany;Uruguay;145;32;64;3178856;Thomas M³ller/David Villa/Wesley Sneijder/Diego Forlßn;Germany/Spain/Netherlands/Uruguay;5;
2014;Brazil;Germany;Argentina;Netherlands;Brazil;171;32;64;3386810;James RodrĒguez;Colombia;6;
2018;Russia;France;Croatia;Belgium;England;169;32;64;3031766;Harry Kane;England;6;
2022;Qatar;Argentina;France;Croatia;Morocco;172;32;64;3404252;Kylian Mbappķ;France;8;
;;;;;;;;;;;;;
